timestamp	 clinton_538_po	 clinton_538_po	 clinton_bf	 trump_bf	 clinton_538_nc	 clinton_538_nc	 clinton_538_pp	 clinton_538_pp
2016-11-05 08:29:00 -0400	0.6449	0.3547	0.781	0.22	0.6458	0.3537	0.6412	0.3584
2016-11-05 08:03:00 -0400	0.6471	0.3526	0.781	0.22	0.6468	0.3529	0.6397	0.3598
2016-11-05 00:57:00 -0400	0.64465	0.35475	0.761	0.241	0.64495	0.3544	0.64085	0.35835
2016-11-04 23:08:00 -0400	0.64525	0.35425	0.761	0.241	0.6458	0.354	0.64165	0.3579
2016-11-04 22:08:00 -0400	0.646	0.35365	0.758	0.241	0.6463	0.3531	0.6444	0.35505
2016-11-04 20:32:00 -0400	0.6492	0.3498	0.758	0.241	0.6452	0.354	0.6423	0.3572
2016-11-04 19:56:00 -0400	0.6485	0.3509	0.758	0.241	0.6469	0.3524	0.6442	0.3553
2016-11-04 19:03:00 -0400	0.6422	0.3575	0.758	0.241	0.6451	0.3541	0.6443	0.3552
2016-11-04 18:25:00 -0400	0.6419	0.3578	0.758	0.241	0.6381	0.3614	0.6402	0.359
2016-11-04 17:38:00 -0400	0.6386	0.3608	0.755	0.244	0.6422	0.3574	0.6371	0.3627
2016-11-04 17:18:00 -0400	0.643	0.3566	0.755	0.244	0.6408	0.3584	0.6424	0.3566
2016-11-04 16:56:00 -0400	0.6505	0.349	0.755	0.244	0.6477	0.3517	0.6474	0.3521
2016-11-04 16:31:00 -0400	0.6494	0.3498	0.755	0.244	0.6533	0.3459	0.6468	0.3527
2016-11-04 15:58:00 -0400	0.6426	0.3566	0.755	0.244	0.6461	0.3535	0.6365	0.3633
2016-11-04 15:38:00 -0400	0.6472	0.3524	0.755	0.244	0.6468	0.3528	0.6406	0.3592
2016-11-04 15:18:00 -0400	0.6523	0.3473	0.755	0.244	0.6449	0.3545	0.6432	0.3564
2016-11-04 14:54:00 -0400	0.6487	0.351	0.755	0.244	0.6462	0.3537	0.643	0.3568
2016-11-04 14:19:00 -0400	0.6515	0.3481	0.763	0.233	0.6562	0.3434	0.6559	0.3437
2016-11-04 13:59:00 -0400	0.664	0.3355	0.763	0.233	0.6739	0.3256	0.6581	0.3408
2016-11-04 13:18:00 -0400	0.6841	0.3153	0.763	0.233	0.6856	0.314	0.6778	0.322
2016-11-04 12:52:00 -0400	0.6863	0.313	0.763	0.233	0.6906	0.3089	0.6834	0.316
2016-11-04 11:56:00 -0400	0.6899	0.3097	0.763	0.233	0.6825	0.3168	0.6797	0.32
2016-11-04 11:08:00 -0400	0.6784	0.3208	0.763	0.233	0.6808	0.3183	0.6724	0.3273
2016-11-04 10:48:00 -0400	0.677	0.3226	0.763	0.233	0.6828	0.3166	0.6709	0.3284
2016-11-04 08:58:00 -0400	0.6648	0.3348	0.744	0.258	0.6617	0.3372	0.6633	0.3363
2016-11-04 08:24:00 -0400	0.6601	0.339	0.744	0.258	0.6579	0.3411	0.653	0.3467
2016-11-04 07:40:00 -0400	0.6634	0.336	0.744	0.258	0.66	0.3395	0.6508	0.349
2016-11-04 07:21:00 -0400	0.666	0.3334	0.744	0.258	0.6564	0.3431	0.6506	0.3488
2016-11-03 23:31:00 -0400	0.662	0.3376	0.717	0.284	0.6547	0.3447	0.6486	0.35115
2016-11-03 20:03:00 -0400	0.6692	0.3299	0.72	0.28	0.6605	0.339	0.6599	0.3396
2016-11-03 19:43:00 -0400	0.6652	0.3345	0.72	0.28	0.6583	0.3412	0.6558	0.344
2016-11-03 18:17:00 -0400	0.6595	0.3399	0.707	0.292	0.6518	0.3478	0.6469	0.3526
2016-11-03 17:30:00 -0400	0.6608	0.3385	0.707	0.292	0.6541	0.3451	0.6519	0.3479
2016-11-03 16:54:00 -0400	0.6566	0.3428	0.707	0.292	0.6523	0.3471	0.6519	0.3476
2016-11-03 15:08:00 -0400	0.647	0.3525	0.707	0.292	0.6409	0.3583	0.6442	0.355
2016-11-03 14:38:00 -0400	0.6575	0.3418	0.707	0.292	0.6505	0.3486	0.6503	0.3493
2016-11-03 14:18:00 -0400	0.656	0.3433	0.707	0.292	0.6459	0.3533	0.6533	0.3462
2016-11-03 13:52:00 -0400	0.6584	0.3412	0.707	0.292	0.6492	0.3501	0.6528	0.3461
2016-11-03 13:32:00 -0400	0.6588	0.3406	0.707	0.292	0.6506	0.3488	0.6492	0.3501
2016-11-03 12:26:00 -0400	0.6589	0.3404	0.707	0.292	0.646	0.3534	0.6485	0.3505
2016-11-03 11:51:00 -0400	0.6475	0.3516	0.707	0.292	0.6386	0.3609	0.6442	0.3553
2016-11-03 11:17:00 -0400	0.6564	0.3423	0.707	0.292	0.6438	0.355	0.6508	0.3486
2016-11-03 10:07:00 -0400	0.667	0.3324	0.717	0.284	0.6521	0.3469	0.6554	0.3443
2016-11-03 09:14:00 -0400	0.6687	0.3305	0.717	0.284	0.6506	0.3482	0.6585	0.3405
2016-11-03 08:34:00 -0400	0.6655	0.3342	0.717	0.284	0.6526	0.3462	0.6571	0.3425
2016-11-03 08:11:00 -0400	0.6639	0.3355	0.717	0.284	0.647	0.3522	0.659	0.3403
2016-11-03 07:50:00 -0400	0.6628	0.3367	0.717	0.284	0.6462	0.3526	0.6574	0.3419
2016-11-03 01:39:00 -0400	0.6763	0.323	0.727	0.27	0.6724	0.3265	0.6704	0.3289
2016-11-02 21:31:00 -0400	0.6771	0.32235	0.735	0.263	0.6542	0.3449	0.66965	0.3294
2016-11-02 20:31:00 -0400	0.6745	0.3248	0.735	0.263	0.6594	0.3393	0.6674	0.3322
2016-11-02 19:04:00 -0400	0.6758	0.3234	0.735	0.263	0.6582	0.3411	0.6743	0.325
2016-11-02 18:44:00 -0400	0.6895	0.3092	0.735	0.263	0.6683	0.3309	0.6775	0.322
2016-11-02 17:30:00 -0400	0.6882	0.3112	0.735	0.265	0.6838	0.3151	0.6804	0.3182
2016-11-02 16:47:00 -0400	0.692	0.3074	0.735	0.265	0.6836	0.3152	0.6836	0.316
2016-11-02 16:15:00 -0400	0.6894	0.31	0.735	0.265	0.6838	0.3147	0.6811	0.3182
2016-11-02 15:45:00 -0400	0.6932	0.306	0.735	0.265	0.6764	0.3225	0.6803	0.319
2016-11-02 15:09:00 -0400	0.6909	0.3087	0.735	0.265	0.6754	0.3229	0.6821	0.3172
2016-11-02 14:25:00 -0400	0.6888	0.3103	0.735	0.265	0.6783	0.3206	0.6815	0.3181
2016-11-02 13:38:00 -0400	0.6945	0.3048	0.733	0.267	0.6775	0.3215	0.6774	0.3219
2016-11-02 13:02:00 -0400	0.699	0.3	0.733	0.267	0.6819	0.3175	0.6894	0.3098
2016-11-02 11:58:00 -0400	0.7074	0.2918	0.733	0.267	0.6966	0.3023	0.6893	0.31
2016-11-02 11:38:00 -0400	0.7084	0.291	0.733	0.267	0.6981	0.3009	0.6936	0.3058
2016-11-02 11:12:00 -0400	0.7043	0.2956	0.733	0.267	0.6934	0.3063	0.6947	0.3047
2016-11-02 10:49:00 -0400	0.703	0.2964	0.733	0.267	0.685	0.3139	0.6894	0.3098
2016-11-02 08:59:00 -0400	0.6948	0.3043	0.738	0.267	0.683	0.3165	0.6815	0.3176
2016-11-02 08:25:00 -0400	0.6904	0.3089	0.738	0.267	0.6759	0.3232	0.6842	0.3153
2016-11-02 07:47:00 -0400	0.691	0.3079	0.738	0.267	0.6795	0.3198	0.6827	0.3164
2016-11-01 23:07:00 -0400	0.71175	0.2876	0.733	0.265	0.6947	0.3045	0.69845	0.3008
2016-11-01 18:04:00 -0400	0.7097	0.2895	0.741	0.258	0.6963	0.3031	0.6966	0.3028
2016-11-01 17:44:00 -0400	0.711	0.2877	0.735	0.265	0.6944	0.3046	0.6955	0.3038
2016-11-01 17:01:00 -0400	0.7118	0.2875	0.735	0.265	0.6916	0.3074	0.6937	0.3057
2016-11-01 16:41:00 -0400	0.7101	0.2893	0.735	0.265	0.6965	0.3027	0.7011	0.2984
2016-11-01 15:10:00 -0400	0.7205	0.2787	0.735	0.265	0.7039	0.2952	0.6983	0.3006
2016-11-01 14:44:00 -0400	0.7179	0.2818	0.735	0.265	0.7025	0.2962	0.6992	0.3005
2016-11-01 13:41:00 -0400	0.718	0.2815	0.733	0.269	0.7039	0.2954	0.7054	0.2935
2016-11-01 13:21:00 -0400	0.7286	0.2709	0.733	0.269	0.7172	0.2816	0.7136	0.286
2016-11-01 11:31:00 -0400	0.7327	0.267	0.733	0.269	0.7198	0.2792	0.7165	0.2829
2016-11-01 10:52:00 -0400	0.7383	0.2616	0.733	0.269	0.7279	0.271	0.7197	0.2798
2016-11-01 09:27:00 -0400	0.7433	0.2561	0.749	0.253	0.7295	0.2698	0.7217	0.2778
2016-11-01 09:07:00 -0400	0.7406	0.2586	0.749	0.253	0.7258	0.2732	0.724	0.2748
2016-11-01 07:44:00 -0400	0.7557	0.2436	0.749	0.253	0.7479	0.2515	0.7442	0.255
2016-10-31 23:17:00 -0400	0.7518	0.24765	0.749	0.253	0.73595	0.263	0.7311	0.26825
2016-10-31 18:49:00 -0400	0.7539	0.2457	0.758	0.238	0.7349	0.2643	0.7357	0.2639
2016-10-31 16:35:00 -0400	0.7557	0.2437	0.761	0.235	0.7415	0.258	0.7435	0.2553
2016-10-31 16:15:00 -0400	0.7547	0.2449	0.761	0.235	0.7329	0.2658	0.7359	0.2632
2016-10-31 15:54:00 -0400	0.7556	0.2437	0.761	0.235	0.7397	0.2598	0.7415	0.2576
2016-10-31 14:11:00 -0400	0.7607	0.2388	0.761	0.235	0.7447	0.255	0.7441	0.2552
2016-10-31 13:26:00 -0400	0.757	0.2423	0.766	0.233	0.7413	0.2577	0.7409	0.2589
2016-10-31 12:33:00 -0400	0.7778	0.2216	0.766	0.233	0.767	0.2322	0.7626	0.2369
2016-10-31 11:23:00 -0400	0.7808	0.2187	0.766	0.233	0.7704	0.2286	0.7637	0.2356
2016-10-31 09:16:00 -0400	0.773	0.2265	0.766	0.233	0.757	0.2422	0.7582	0.2415
2016-10-30 14:42:00 -0400	0.7894	0.2101	0.781	0.22	0.7736	0.2255	0.7662	0.2331
2016-10-30 11:35:00 -0400	0.785	0.2143	0.772	0.23	0.781	0.2181	0.7708	0.2288
2016-10-30 11:16:00 -0400	0.7884	0.2112	0.772	0.23	0.7791	0.22	0.769	0.2308
2016-10-30 10:31:00 -0400	0.7855	0.2138	0.772	0.23	0.7766	0.2224	0.7685	0.2314
2016-10-29 21:06:00 -0400	0.811	0.18865	0.769	0.227	0.80375	0.19565	0.78975	0.2099
2016-10-29 16:30:00 -0400	0.81	0.1895	0.772	0.23	0.8013	0.1979	0.789	0.2108
2016-10-29 12:29:00 -0400	0.8064	0.193	0.766	0.233	0.8001	0.1993	0.7842	0.2152
2016-10-29 09:45:00 -0400	0.8061	0.1936	0.766	0.233	0.8007	0.1984	0.7843	0.2154
2016-10-28 20:24:00 -0400	0.8142	0.1853	0.767	0.231	0.8069	0.1926	0.7923	0.2071
2016-10-28 17:38:00 -0400	0.8123	0.1871	0.767	0.231	0.8075	0.1915	0.7908	0.2089
2016-10-28 17:03:00 -0400	0.8198	0.1796	0.778	0.22	0.8106	0.1887	0.7906	0.2088
2016-10-28 16:43:00 -0400	0.8156	0.1837	0.778	0.22	0.8091	0.19	0.7909	0.2086
2016-10-28 14:57:00 -0400	0.8158	0.1836	0.778	0.22	0.8119	0.1875	0.7905	0.2091
2016-10-28 13:52:00 -0400	0.8106	0.1891	0.778	0.22	0.8093	0.1896	0.7912	0.2081
2016-10-28 12:13:00 -0400	0.8201	0.1794	0.816	0.182	0.8119	0.1872	0.7949	0.2046
2016-10-28 11:54:00 -0400	0.8203	0.1792	0.816	0.182	0.8115	0.1873	0.7976	0.2016
2016-10-28 09:04:00 -0400	0.8123	0.187	0.823	0.179	0.8017	0.1978	0.7912	0.2082
2016-10-28 08:21:00 -0400	0.8126	0.187	0.823	0.179	0.8038	0.1957	0.7893	0.2098
2016-10-27 20:34:00 -0400	0.8209	0.1788	0.83	0.168	0.8143	0.185	0.7997	0.1998
2016-10-27 17:02:00 -0400	0.8301	0.1696	0.833	0.165	0.8216	0.1773	0.8098	0.1892
2016-10-27 16:18:00 -0400	0.8258	0.1739	0.833	0.165	0.8191	0.1802	0.8069	0.1925
