date,dem,rep,ind
2016-06-01,0.5835,0.4165,0
2016-06-02,0.5892,0.4108,0
2016-06-03,0.5975,0.4025,0
2016-06-04,0.5983,0.4017,0
2016-06-05,0.6079,0.3921,0
2016-06-06,0.6144,0.3856,0
2016-06-07,0.6198,0.3802,0
2016-06-08,0.6259,0.3741,0
2016-06-09,0.6332,0.3668,0
2016-06-10,0.6423,0.3577,0
2016-06-11,0.6505,0.3495,0
2016-06-12,0.6597,0.3403,0
2016-06-13,0.6714,0.3286,0
2016-06-14,0.6745,0.3255,0
2016-06-15,0.6827,0.3173,0
2016-06-16,0.704,0.296,0
2016-06-17,0.7105,0.2895,0
2016-06-18,0.7164,0.2836,0
2016-06-19,0.7233,0.2767,0
2016-06-20,0.7363,0.2637,0
2016-06-21,0.7473,0.2527,0
2016-06-22,0.7584,0.2416,0
2016-06-23,0.7627,0.2373,0
2016-06-24,0.7638,0.2362,0
2016-06-25,0.7681,0.2319,0
2016-06-26,0.7782,0.2218,0
2016-06-27,0.782,0.218,0
2016-06-28,0.7708,0.2292,0
2016-06-29,0.7711,0.2289,0
2016-06-30,0.7718,0.2282,0
2016-07-01,0.7693,0.2307,0
2016-07-02,0.7678,0.2322,0
2016-07-03,0.7724,0.2276,0
2016-07-04,0.7737,0.2263,0
2016-07-05,0.7691,0.2309,0
2016-07-06,0.7569,0.2431,0
2016-07-07,0.7525,0.2475,0
2016-07-08,0.7717,0.2283,0
2016-07-09,0.7706,0.2294,0
2016-07-10,0.7611,0.2389,0
2016-07-11,0.766,0.234,0
2016-07-12,0.7649,0.2351,0
2016-07-13,0.7601,0.2399,0
2016-07-14,0.7513,0.2487,0
2016-07-15,0.7532,0.2467,0
2016-07-16,0.7537,0.2463,0
2016-07-17,0.754,0.246,0
2016-07-18,0.7545,0.2455,0
2016-07-19,0.7521,0.2479,0
2016-07-20,0.751,0.249,0
2016-07-21,0.7434,0.2566,0
2016-07-22,0.7436,0.2564,0
2016-07-23,0.7438,0.2562,0
2016-07-24,0.7417,0.2583,0
2016-07-25,0.6887,0.3113,0
2016-07-26,0.6861,0.3139,0
2016-07-27,0.6896,0.3104,0
2016-07-28,0.6976,0.3024,0
2016-07-29,0.694,0.306,0
2016-07-30,0.6957,0.3043,0
2016-07-31,0.70058,0.29941,0
2016-08-01,0.72624,0.27375,0
2016-08-02,0.73749,0.26251,0
2016-08-03,0.74627,0.25373,0
2016-08-04,0.79487,0.20513,0
2016-08-05,0.80361,0.19638,0
2016-08-06,0.80741,0.19259,0
2016-08-07,0.83161,0.16839,0
