unix_timestamp,clinton-pp,clinton-po,clinton-nc,trump-pp,trump-po,trump-nc
1477970220,0.7311,0.7518,0.73595,0.26825,0.24765,0.263
1477954140,0.7357,0.7539,0.7349,0.2639,0.2457,0.2643
1477946100,0.7435,0.7557,0.7415,0.2553,0.2437,0.258
1477944900,0.7359,0.7547,0.7329,0.2632,0.2449,0.2658
1477943640,0.7415,0.7556,0.7397,0.2576,0.2437,0.2598
1477937460,0.7441,0.7607,0.7447,0.2552,0.2388,0.255
1477934760,0.7409,0.757,0.7413,0.2589,0.2423,0.2577
1477931580,0.7626,0.7778,0.767,0.2369,0.2216,0.2322
1477927380,0.7637,0.7808,0.7704,0.2356,0.2187,0.2286
1477919760,0.7582,0.773,0.757,0.2415,0.2265,0.2422
1477852920,0.7662,0.7894,0.7736,0.2331,0.2101,0.2255
1477841700,0.7708,0.785,0.781,0.2288,0.2143,0.2181
1477840560,0.769,0.7884,0.7791,0.2308,0.2112,0.22
1477837860,0.7685,0.7855,0.7766,0.2314,0.2138,0.2224
1477789560,0.78975,0.811,0.80375,0.2099,0.18865,0.19565
1477773000,0.789,0.81,0.8013,0.2108,0.1895,0.1979
1477758540,0.7842,0.8064,0.8001,0.2152,0.193,0.1993
1477748700,0.7843,0.8061,0.8007,0.2154,0.1936,0.1984
1477700640,0.7923,0.8142,0.8069,0.2071,0.1853,0.1926
1477690680,0.7908,0.8123,0.8075,0.2089,0.1871,0.1915
1477688580,0.7906,0.8198,0.8106,0.2088,0.1796,0.1887
1477687380,0.7909,0.8156,0.8091,0.2086,0.1837,0.19
1477681020,0.7905,0.8158,0.8119,0.2091,0.1836,0.1875
1477677120,0.7912,0.8106,0.8093,0.2081,0.1891,0.1896
1477671180,0.7949,0.8201,0.8119,0.2046,0.1794,0.1872
1477670040,0.7976,0.8203,0.8115,0.2016,0.1792,0.1873
1477659840,0.7912,0.8123,0.8017,0.2082,0.187,0.1978
1477657260,0.7893,0.8126,0.8038,0.2098,0.187,0.1957
1477614840,0.7997,0.8209,0.8143,0.1998,0.1788,0.185
1477602120,0.8098,0.8301,0.8216,0.1892,0.1696,0.1773
1477599480,0.8069,0.8258,0.8191,0.1925,0.1739,0.1802
1477596660,0.8081,0.8294,0.8306,0.191,0.1699,0.1686
1477593300,0.8172,0.8407,0.8355,0.1823,0.1586,0.1637
1477590840,0.8121,0.8383,0.8335,0.1871,0.1611,0.1656
1477587420,0.8213,0.842,0.8429,0.1782,0.1577,0.1564
1477583700,0.8223,0.8436,0.842,0.1771,0.156,0.1567
1477582380,0.8205,0.8425,0.8422,0.1786,0.1572,0.1573
1477575780,0.8242,0.8466,0.8423,0.175,0.1527,0.157
1477572660,0.831,0.8461,0.8499,0.1686,0.1532,0.1497
1477547880,0.8376,0.8565,0.8628,0.1618,0.1432,0.1366
1477532880,0.8323,0.85415,0.8592,0.1672,0.14545,0.1401
1477521900,0.8344,0.8542,0.8624,0.1645,0.1456,0.1371
1477519920,0.8385,0.8582,0.8659,0.161,0.1413,0.1335
1477517220,0.8367,0.8606,0.8722,0.163,0.1391,0.1273
1477514760,0.823,0.8436,0.8519,0.1764,0.1557,0.1473
1477510800,0.8252,0.8493,0.8525,0.1746,0.1505,0.1471
1477506720,0.8231,0.8505,0.8541,0.1766,0.1491,0.1453
1477505580,0.8213,0.842,0.8468,0.1782,0.1579,0.1526
1477503120,0.8168,0.8447,0.8474,0.1829,0.1546,0.1518
1477495740,0.8302,0.8468,0.8566,0.1693,0.1528,0.1424
1477486680,0.8218,0.8457,0.8525,0.1777,0.1541,0.1465
1477485540,0.8195,0.843,0.8505,0.18,0.1566,0.1489
1477452000,0.82635,0.85045,0.85635,0.17325,0.1491,0.143
1477440840,0.8271,0.8475,0.8573,0.1726,0.152,0.1423
1477428060,0.8298,0.8537,0.8607,0.1696,0.1462,0.1387
1477426140,0.8323,0.8538,0.8625,0.1672,0.1457,0.137
1477422900,0.8322,0.8553,0.8602,0.1674,0.1446,0.1393
1477420200,0.8287,0.8534,0.8578,0.1706,0.1462,0.142
1477419000,0.8323,0.8584,0.8608,0.1676,0.1414,0.139
1477417920,0.8372,0.8553,0.865,0.1624,0.1444,0.1347
1477415520,0.832,0.8591,0.8661,0.1674,0.1405,0.1331
1477408200,0.8301,0.8596,0.863,0.1695,0.1401,0.136
1477404960,0.8438,0.8645,0.8705,0.1559,0.1353,0.1286
1477402680,0.8398,0.8629,0.8656,0.1598,0.1364,0.1343
1477401120,0.8356,0.8608,0.8636,0.1639,0.1389,0.1358
1477399920,0.8342,0.8588,0.8617,0.1655,0.1409,0.1374
1477364820,0.83875,0.863,0.86705,0.16085,0.13675,0.1323
1477349940,0.84,0.861,0.8658,0.1598,0.1388,0.1331
1477348020,0.8297,0.8507,0.8533,0.17,0.1491,0.1459
1477343220,0.831,0.8536,0.8579,0.1686,0.1462,0.1415
1477341840,0.8308,0.8565,0.8544,0.1687,0.1431,0.1451
1477333680,0.8325,0.8519,0.8577,0.1672,0.1478,0.1417
1477330500,0.839,0.8645,0.8673,0.1609,0.1354,0.1324
1477328400,0.8398,0.8656,0.8668,0.1599,0.1342,0.133
1477324380,0.8414,0.8624,0.8654,0.1583,0.1375,0.1342
1477315080,0.8403,0.8622,0.8656,0.1593,0.1376,0.1335
1477255260,0.837,0.8604,0.8604,0.1624,0.1394,0.1389
1477235160,0.8503,0.8739,0.8785,0.1493,0.1259,0.1209
1477231200,0.8489,0.8694,0.8751,0.1508,0.1303,0.1247
1477158060,0.8335,0.8582,0.8624,0.1661,0.1416,0.1373
1477149720,0.8299,0.8596,0.8583,0.1693,0.1401,0.1412
1477148460,0.8326,0.8583,0.859,0.1672,0.1414,0.1404
1477139700,0.8351,0.8581,0.8598,0.1646,0.1417,0.1395
1477088520,0.8408,0.8674,0.8655,0.1588,0.1324,0.1337
1477085520,0.8386,0.8629,0.8635,0.1611,0.1367,0.1361
1477080900,0.8388,0.8611,0.863,0.1609,0.1387,0.1361
1477076460,0.8353,0.8648,0.866,0.1644,0.1349,0.1332
1477075260,0.8393,0.8677,0.8667,0.1604,0.1322,0.1328
1477073460,0.8376,0.8651,0.8641,0.1619,0.1347,0.1354
1477072200,0.836,0.8639,0.8609,0.1635,0.1356,0.1385
1477067160,0.8393,0.8663,0.8624,0.1601,0.1334,0.1371
1477057380,0.8374,0.8621,0.8649,0.1619,0.1377,0.1346
1477013460,0.84065,0.8703,0.87,0.1592,0.12955,0.12945
1477009680,0.841,0.8693,0.8739,0.1586,0.1304,0.1257
1477004460,0.8406,0.8659,0.8722,0.159,0.134,0.1272
1476988080,0.8407,0.8689,0.8723,0.1588,0.131,0.1274
1476984780,0.8381,0.8671,0.8643,0.1612,0.1327,0.1349
1476981840,0.8344,0.8616,0.8653,0.1654,0.1379,0.1342
1476980340,0.8326,0.8607,0.8651,0.167,0.1391,0.1341
1476969360,0.834,0.8624,0.8616,0.1659,0.1372,0.138
1476964560,0.8459,0.8722,0.8789,0.1539,0.1274,0.1203
1476912960,0.8465,0.8711,0.8747,0.1531,0.1287,0.1249
1476911820,0.8419,0.8691,0.8726,0.1578,0.1302,0.127
1476910740,0.8388,0.8624,0.8758,0.1609,0.1374,0.1238
1476906060,0.8416,0.867,0.8755,0.1582,0.1328,0.1238
1476904080,0.8422,0.8688,0.8785,0.1577,0.1311,0.121
1476900960,0.833,0.86,0.8733,0.1669,0.1398,0.1264
1476896700,0.8351,0.8653,0.8753,0.1648,0.1342,0.1245
1476893220,0.8452,0.8768,0.8934,0.1545,0.1229,0.1061
1476890640,0.8495,0.8808,0.8906,0.1503,0.119,0.1091
1476887100,0.8452,0.8757,0.8913,0.1546,0.1238,0.1083
1476885360,0.8497,0.8778,0.8899,0.15,0.1218,0.11
1476883200,0.8457,0.8766,0.8925,0.1541,0.1233,0.1071
1476881100,0.8404,0.8722,0.8849,0.1594,0.1276,0.1149
1476842640,0.8403,0.8735,0.8874,0.1594,0.1264,0.1124
1476840660,0.84005,0.8702,0.8865,0.1597,0.12945,0.11315
1476829620,0.8401,0.8757,0.8893,0.1597,0.1241,0.1102
1476826620,0.8417,0.8738,0.8874,0.1576,0.1261,0.1121
1476816960,0.8458,0.8764,0.8914,0.1539,0.1232,0.1083
1476812940,0.8445,0.8772,0.8955,0.1554,0.1225,0.1042
1476809700,0.8424,0.8742,0.89,0.1574,0.1255,0.1096
1476805740,0.8436,0.874,0.8931,0.1561,0.1257,0.1065
1476803880,0.8455,0.8755,0.8935,0.1541,0.1244,0.1064
1476800520,0.8499,0.8799,0.898,0.15,0.1198,0.1016
1476794880,0.8468,0.8792,0.8985,0.1531,0.1205,0.1013
1476792540,0.8497,0.8831,0.9027,0.1497,0.1167,0.097
1476755100,0.85145,0.88215,0.90735,0.1482,0.11775,0.09225
1476753120,0.8568,0.88625,0.911,0.1431,0.1135,0.08865
1476745560,0.8603,0.8871,0.909,0.1395,0.1127,0.0907
1476744060,0.8518,0.8816,0.9025,0.1475,0.1181,0.0971
1476741300,0.8464,0.8828,0.904,0.1535,0.117,0.0953
1476740100,0.8511,0.8817,0.9047,0.1488,0.1181,0.095
1476732480,0.8542,0.8842,0.904,0.1457,0.1155,0.0955
1476727260,0.8484,0.8772,0.8963,0.1512,0.1226,0.1033
1476722880,0.8434,0.8751,0.8981,0.1564,0.1246,0.1014
1476717780,0.8489,0.8799,0.9033,0.1505,0.1199,0.0961
1476716700,0.8482,0.877,0.8984,0.1516,0.1229,0.1012
1476709800,0.8432,0.8726,0.8984,0.1567,0.1272,0.1013
1476707520,0.8393,0.8723,0.8914,0.1605,0.1276,0.1084
1476667800,0.8312,0.8657,0.8878,0.16865,0.1341,0.11205
1476659760,0.8271,0.8633,0.8834,0.1726,0.1363,0.1165
1476635820,0.8285,0.8623,0.8845,0.1713,0.1376,0.1153
1476626580,0.8312,0.8609,0.8849,0.1686,0.139,0.1149
1476619440,0.8162,0.8508,0.8681,0.1835,0.1491,0.1315
1476596340,0.8147,0.8482,0.8695,0.1852,0.1517,0.13
1476585720,0.81635,0.8549,0.8743,0.1834,0.14495,0.1255
1476567060,0.8141,0.8537,0.8709,0.1857,0.1462,0.1286
1476548520,0.8212,0.8563,0.8772,0.1787,0.1435,0.1225
1476533220,0.819,0.8575,0.8744,0.1806,0.1422,0.1254
1476480420,0.8226,0.8573,0.8781,0.1771,0.1426,0.1212
